from,to
"/bis","/organisations/department-for-business-innovation-and-skills"
"/business","/organisations/department-for-business-innovation-and-skills"
"/co","/organisations/cabinet-office"
"/cabinetoffice","/organisations/cabinet-office"
"/dclg","/organisations/department-for-communities-and-local-government"
"/communities","/organisations/department-for-communities-and-local-government"
"/defence","/organisations/ministry-of-defence"
"/mod","/organisations/ministry-of-defence"
"/defra","/organisations/department-for-environment-food-and-rural-affairs"
"/fco","/organisations/foreign-and-commonwealth-office"
"/foreignoffice","/organisations/foreign-and-commonwealth-office"
"/dh","/organisations/department-of-health"
"/health","/organisations/department-of-health"
"/dfid","/organisations/department-for-international-development"
"/justice","/organisations/ministry-of-justice"
"/moj","/organisations/ministry-of-justice"
"/hmrc","/organisations/her-majestys-revenue-and-customs"
