old_url,ignoreoldtitle,title,summary,body,price,ignoreorderingdetails,publication_date,ignore old type,publication_type,ignoredg,ISBN,policy_1,policy_2,policy_3,policy_4,attachment_1_url,attachment_1_title,attachment_2_url,attachment_2_title,attachment_3_url,attachment_3_title,attachment_4_url,attachment_4_title,attachment_5_url,attachment_5_title,attachment_6_url,attachment_6_title,attachment_7_url,attachment_7_title,attachment_8_url,attachment_8_title,attachment_9_url,attachment_9_title,attachment_10_url,attachment_10_title,attachment_11_url,attachment_11_title,attachment_12_url,attachment_12_title,attachment_13_url,attachment_13_title,attachment_14_url,attachment_14_title,attachment_15_url,attachment_15_title,attachment_16_url,attachment_16_title,attachment_17_url,attachment_17_title,attachment_18_url,attachment_18_title,attachment_19_url,attachment_19_title,attachment_20_url,attachment_20_title,attachment_21_url,attachment_21_title,attachment_22_url,attachment_22_title,attachment_23_url,attachment_23_title,attachment_24_url,attachment_24_title,attachment_25_url,attachment_25_title,attachment_26_url,attachment_26_title,attachment_27_url,attachment_27_title,attachment_28_url,attachment_28_title,attachment_29_url,attachment_29_title,attachment_30_url,attachment_30_title,attachment_31_url,attachment_31_title,attachment_32_url,attachment_32_title,attachment_33_url,attachment_33_title,attachment_34_url,attachment_34_title,attachment_35_url,attachment_35_title,attachment_36_url,attachment_36_title,organisation
http://www.communities.gov.uk/publications/planningandbuilding/brac2009,Building Regulations Advisory Committee (BRAC) Annual Report 2009,Building Regulations Advisory Committee annual report 2009,,"This annual report relates to the advisory work carried out by the Building Regulations Advisory Committee (BRAC) in 2009 and is the tenth report published on behalf of the Committee.

BRAC has continued to work closely with officials in Communities and Local Government to provide strategic and technical advice and views on a broad range of issues related to the Building Regulations and building standards.

During the year BRAC assisted the Department in finalising the _Future of Building Control Implementation Plan_ and commented on a number of proposals aimed at developing the Competent Person Schemes framework. The Committee also ran a number of working parties to assist the Department in reviewing and developing proposals for amendments to Parts A and C, Parts G, J, L, F and M of the Building Regulations

As in recent years BRAC also gave its views on sustainable buildings initiatives.

**This report reflects the work of the Committee in 2009 under the last Government. It should not necessarily be construed as a commentary of the new Government's policy positions and work.**",Free,,9-Jul-10,"Corporate reports, Reports and summaries",corporate-reports,,9781409824633,,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/1636820.pdf,Building Regulations Advisory Committee (BRAC) Annual Report 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building-regulations-advisory-committee
http://www.communities.gov.uk/publications/planningandbuilding/brac2010,Building Regulations Advisory Committee (BRAC) Annual Report 2010,Building Regulations Advisory Committee annual report 2010,,"This annual report relates to the advisory work carried out by the Building Regulations Advisory Committee (BRAC) in 2010 and is the eleventh report published on behalf of the Committee.

BRAC has continued to work closely with officials in the Department for Communities and Local Government to provide strategic and technical advice and views on a broad range of issues related to the Building Regulations and building standards.

During the year BRAC assisted the Department in giving their views and comments on a range of areas, including: The 2013 Review of Building Regulations; Consolidation of the Building Regulations 2010; Lifetime Home Standards; Reviews of Parts L (Conservation of Fuel and Power), F (Ventilation), and Part J (Combustion Appliances and Fuel Storage).

**This report reflects the work of the Committee in 2010, under the previous Government (until May 2010). It should not all necessarily be construed as a commentary of the current Government's policy positions and work.**",Free,,30-Jun-11,"Corporate reports, Reports and summaries",corporate-reports,,9781409830245,,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/1933878,Building Regulations Advisory Committee (BRAC) Annual Report 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building-regulations-advisory-committee
http://www.communities.gov.uk/publications/planningandbuilding/buildingregulationsadvisory,The Building Regulations Advisory Committee (BRAC) - Member's Handbook (2010),Building Regulations Advisory Committee: member's handbook 2010,,"The BRAC member's handbook contains details about the role and responsibilities of BRAC members and includes a code of practice for members, which refers to such matters as conflicts of interest and dealing with media enquiries.

This replaces the version which was published in 2009.",Free,,30-Nov-10,"Good practice and guidance, Reports and summaries",guidance,Y,9781409826477,,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/1784015.pdf,The Building Regulations Advisory Committee Members Handbook 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building-regulations-advisory-committee
