slug,path_for_alternative_url
mitigating-climate-change-with-singapore,/government/world/singapore
working-with-malaysia-to-reduce-the-threat-from-transnational-crime-terrorism-and-weapons-proliferation,/government/world/malaysia
promoting-democracy-and-good-governance-in-malaysia,/government/world/malaysia
supporting-malaysia-s-commitment-to-sustainable-development,/government/world/malaysia
safeguarding-britain-s-national-security-from-indonesia,/government/world/indonesia
working-with-the-association-of-southeast-asian-nations,/building-prosperity-with-south-east-asia--2
promoting-human-rights-in-indonesia,/government/world/indonesia
supporting-british-nationals-in-malaysia,/government/world/malaysia
addressing-climate-change-and-promoting-sustainable-growth-in-indonesia,/government/world/indonesia
supporting-british-nationals-in-singapore,/government/world/singapore
improving-international-security-with-singapore,/government/world/singapore
uk-science-and-innovation-network-working-with-malaysia,/government/world/malaysia
uk-science-and-innovation-network-working-with-singapore,/government/world/singapore
increasing-business-with-singapore,/government/world/singapore
improving-business-with-indonesia,/government/world/indonesia
supporting-british-nationals-in-indonesia,/government/world/indonesia
protecting-human-rights-in-vietnam,/government/world/vietnam
working-with-vietnam-for-international-peace-and-security,/government/world/vietnam
increasing-trade-and-investment-between-the-uk-and-malaysia--2,/government/world/malaysia
increasing-trade-investment-and-education-links-with-vietnam,/government/world/vietnam
supporting-development-in-vietnam,/government/world/vietnam
building-prosperity-with-south-east-asia,/building-prosperity-with-south-east-asia--2
supporting-british-nationals-in-vietnam,/government/world/vietnam
